currency,model,horizon,date,y_pred
USD,LSTM,1.0,2024-09-13,39.85354471857502
USD,LSTM,1.0,2024-09-14,39.83263910623433
USD,LSTM,1.0,2024-09-15,39.8231825964293
USD,LSTM,1.0,2024-09-16,39.818204848620006
USD,LSTM,1.0,2024-09-17,39.81547433333682
USD,LSTM,1.0,2024-09-18,39.81394588904761
USD,LSTM,1.0,2024-09-19,39.813095663402
USD,LSTM,1.0,2024-09-20,39.81263486548421
USD,LSTM,1.0,2024-09-21,39.81239568653871
USD,LSTM,1.0,2024-09-22,39.81227914483142
USD,LSTM,1.0,2024-09-23,39.81222763557666
USD,LSTM,1.0,2024-09-24,39.812208824203054
USD,LSTM,1.0,2024-09-25,39.81220511036964
USD,LSTM,1.0,2024-09-26,39.812207290228386
USD,LSTM,1.0,2024-09-27,39.812211084797305
USD,LSTM,1.0,2024-09-28,39.81221475826297
USD,LSTM,1.0,2024-09-29,39.8122176647413
USD,LSTM,1.0,2024-09-30,39.812219723496774
USD,LSTM,1.0,2024-10-01,39.81222113636818
USD,LSTM,1.0,2024-10-02,39.812222024458784
USD,LSTM,1.0,2024-10-03,39.812222589607345
USD,LSTM,1.0,2024-10-04,39.812222629975096
USD,LSTM,1.0,2024-10-05,39.812222670342855
USD,LSTM,1.0,2024-10-06,39.812222670342855
USD,LSTM,1.0,2024-10-07,39.812222670342855
USD,LSTM,1.0,2024-10-08,39.812222670342855
USD,LSTM,1.0,2024-10-09,39.812222670342855
USD,LSTM,1.0,2024-10-10,39.81222271071061
USD,LSTM,1.0,2024-10-11,39.81222271071061
USD,LSTM,1.0,2024-10-12,39.812222670342855
USD,LSTM,1.0,2024-10-13,39.81222271071061
USD,LSTM,1.0,2024-10-14,39.81222271071061
USD,LSTM,1.0,2024-10-15,39.81222271071061
USD,LSTM,1.0,2024-10-16,39.81222271071061
USD,LSTM,1.0,2024-10-17,39.81222271071061
USD,LSTM,1.0,2024-10-18,39.812222670342855
USD,LSTM,1.0,2024-10-19,39.812222670342855
USD,LSTM,1.0,2024-10-20,39.812222670342855
USD,LSTM,1.0,2024-10-21,39.812222670342855
USD,LSTM,1.0,2024-10-22,39.812222670342855
USD,LSTM,1.0,2024-10-23,39.812222670342855
USD,LSTM,1.0,2024-10-24,39.812222670342855
USD,LSTM,1.0,2024-10-25,39.812222670342855
USD,LSTM,1.0,2024-10-26,39.812222670342855
USD,LSTM,1.0,2024-10-27,39.812222670342855
USD,LSTM,1.0,2024-10-28,39.812222670342855
USD,LSTM,1.0,2024-10-29,39.812222670342855
USD,LSTM,1.0,2024-10-30,39.812222670342855
USD,LSTM,1.0,2024-10-31,39.812222670342855
USD,LSTM,1.0,2024-11-01,39.812222670342855
USD,LSTM,1.0,2024-11-02,39.812222670342855
USD,LSTM,1.0,2024-11-03,39.812222670342855
USD,LSTM,1.0,2024-11-04,39.812222670342855
USD,LSTM,1.0,2024-11-05,39.812222670342855
USD,LSTM,1.0,2024-11-06,39.812222670342855
USD,LSTM,1.0,2024-11-07,39.812222670342855
USD,LSTM,1.0,2024-11-08,39.812222670342855
USD,LSTM,1.0,2024-11-09,39.812222670342855
USD,LSTM,1.0,2024-11-10,39.812222670342855
USD,LSTM,1.0,2024-11-11,39.812222670342855
USD,LSTM,1.0,2024-11-12,39.812222670342855
USD,LSTM,1.0,2024-11-13,39.812222670342855
USD,LSTM,1.0,2024-11-14,39.812222670342855
USD,LSTM,1.0,2024-11-15,39.812222670342855
USD,LSTM,1.0,2024-11-16,39.812222670342855
USD,LSTM,1.0,2024-11-17,39.812222670342855
USD,LSTM,1.0,2024-11-18,39.812222670342855
USD,LSTM,1.0,2024-11-19,39.812222670342855
USD,LSTM,1.0,2024-11-20,39.812222670342855
USD,LSTM,1.0,2024-11-21,39.812222670342855
USD,LSTM,1.0,2024-11-22,39.812222670342855
USD,LSTM,1.0,2024-11-23,39.812222670342855
USD,LSTM,1.0,2024-11-24,39.812222670342855
USD,LSTM,1.0,2024-11-25,39.812222670342855
USD,LSTM,1.0,2024-11-26,39.812222670342855
USD,LSTM,1.0,2024-11-27,39.812222670342855
USD,LSTM,1.0,2024-11-28,39.812222670342855
USD,LSTM,1.0,2024-11-29,39.812222670342855
USD,LSTM,1.0,2024-11-30,39.812222670342855
USD,LSTM,1.0,2024-12-01,39.812222670342855
USD,LSTM,1.0,2024-12-02,39.812222670342855
USD,LSTM,1.0,2024-12-03,39.812222670342855
USD,LSTM,1.0,2024-12-04,39.812222670342855
USD,LSTM,1.0,2024-12-05,39.812222670342855
USD,LSTM,1.0,2024-12-06,39.812222670342855
USD,LSTM,1.0,2024-12-07,39.812222670342855
USD,LSTM,1.0,2024-12-08,39.812222670342855
USD,LSTM,1.0,2024-12-09,39.812222670342855
USD,LSTM,1.0,2024-12-10,39.812222670342855
USD,LSTM,1.0,2024-12-11,39.812222670342855
USD,LSTM,1.0,2024-12-12,39.812222670342855
USD,LSTM,1.0,2024-12-13,39.812222670342855
USD,LSTM,1.0,2024-12-14,39.812222670342855
USD,LSTM,1.0,2024-12-15,39.812222670342855
USD,LSTM,1.0,2024-12-16,39.812222670342855
USD,LSTM,1.0,2024-12-17,39.812222670342855
USD,LSTM,1.0,2024-12-18,39.812222670342855
USD,LSTM,1.0,2024-12-19,39.812222670342855
USD,LSTM,1.0,2024-12-20,39.812222670342855
USD,LSTM,1.0,2024-12-21,39.812222670342855
USD,LSTM,1.0,2024-12-22,39.812222670342855
USD,LSTM,1.0,2024-12-23,39.812222670342855
USD,LSTM,1.0,2024-12-24,39.812222670342855
