currency,model,horizon,date,y_pred
EUR,MLP,0.5,2024-09-13,44.53965210195011
EUR,MLP,0.5,2024-09-14,44.52322217034018
EUR,MLP,0.5,2024-09-15,44.51720396986448
EUR,MLP,0.5,2024-09-16,44.47474508058757
EUR,MLP,0.5,2024-09-17,44.46583641889803
EUR,MLP,0.5,2024-09-18,44.46876093561954
EUR,MLP,0.5,2024-09-19,44.432504220593486
EUR,MLP,0.5,2024-09-20,44.40648414697198
EUR,MLP,0.5,2024-09-21,44.369724187786325
EUR,MLP,0.5,2024-09-22,44.300876814626896
EUR,MLP,0.5,2024-09-23,44.27992666216823
EUR,MLP,0.5,2024-09-24,44.24664092001817
EUR,MLP,0.5,2024-09-25,44.20951005193372
EUR,MLP,0.5,2024-09-26,44.2128808531274
EUR,MLP,0.5,2024-09-27,44.186446236987884
EUR,MLP,0.5,2024-09-28,44.18533910909099
EUR,MLP,0.5,2024-09-29,44.172600405835944
EUR,MLP,0.5,2024-09-30,44.13046337812341
EUR,MLP,0.5,2024-10-01,44.10823253498348
EUR,MLP,0.5,2024-10-02,44.09977705215557
EUR,MLP,0.5,2024-10-03,44.057531935223025
EUR,MLP,0.5,2024-10-04,44.04763811617766
EUR,MLP,0.5,2024-10-05,44.04204366616293
EUR,MLP,0.5,2024-10-06,44.03389972645074
EUR,MLP,0.5,2024-10-07,44.02815119377222
EUR,MLP,0.5,2024-10-08,44.0227606603639
EUR,MLP,0.5,2024-10-09,44.01393667473284
EUR,MLP,0.5,2024-10-10,44.007369421738034
EUR,MLP,0.5,2024-10-11,43.99911850331152
EUR,MLP,0.5,2024-10-12,43.99200511287503
EUR,MLP,0.5,2024-10-13,43.988458620427764
EUR,MLP,0.5,2024-10-14,43.98453122453054
EUR,MLP,0.5,2024-10-15,43.98243292403869
EUR,MLP,0.5,2024-10-16,43.98095095420202
EUR,MLP,0.5,2024-10-17,43.97740473938118
EUR,MLP,0.5,2024-10-18,43.97603118266202
EUR,MLP,0.5,2024-10-19,43.97371101238851
EUR,MLP,0.5,2024-10-20,43.96985496648155
EUR,MLP,0.5,2024-10-21,43.96785004100938
EUR,MLP,0.5,2024-10-22,43.96636214847573
EUR,MLP,0.5,2024-10-23,43.964036240589515
EUR,MLP,0.5,2024-10-24,43.96307010064355
EUR,MLP,0.5,2024-10-25,43.96227622789196
EUR,MLP,0.5,2024-10-26,43.96134479124865
EUR,MLP,0.5,2024-10-27,43.960573915218966
EUR,MLP,0.5,2024-10-28,43.95966876054353
EUR,MLP,0.5,2024-10-29,43.958745930319274
EUR,MLP,0.5,2024-10-30,43.95801304283823
EUR,MLP,0.5,2024-10-31,43.957224444988654
EUR,MLP,0.5,2024-11-01,43.95667178332607
EUR,MLP,0.5,2024-11-02,43.9562525211589
EUR,MLP,0.5,2024-11-03,43.95582724375261
EUR,MLP,0.5,2024-11-04,43.955581174201235
EUR,MLP,0.5,2024-11-05,43.95529475627664
EUR,MLP,0.5,2024-11-06,43.95490566284725
EUR,MLP,0.5,2024-11-07,43.95467301190624
EUR,MLP,0.5,2024-11-08,43.954393164473615
EUR,MLP,0.5,2024-11-09,43.95406931325322
EUR,MLP,0.5,2024-11-10,43.95387437323443
EUR,MLP,0.5,2024-11-11,43.953708028737026
EUR,MLP,0.5,2024-11-12,43.953533679344474
EUR,MLP,0.5,2024-11-13,43.953420870475306
EUR,MLP,0.5,2024-11-14,43.953309819906806
EUR,MLP,0.5,2024-11-15,43.95320080526539
EUR,MLP,0.5,2024-11-16,43.95310109110909
EUR,MLP,0.5,2024-11-17,43.952996055779714
EUR,MLP,0.5,2024-11-18,43.95290522566889
EUR,MLP,0.5,2024-11-19,43.9528269350181
EUR,MLP,0.5,2024-11-20,43.952753364016466
EUR,MLP,0.5,2024-11-21,43.95270163295997
EUR,MLP,0.5,2024-11-22,43.95265360358909
EUR,MLP,0.5,2024-11-23,43.95260733251889
EUR,MLP,0.5,2024-11-24,43.95257429497475
EUR,MLP,0.5,2024-11-25,43.95253686167896
EUR,MLP,0.5,2024-11-26,43.95249702228751
EUR,MLP,0.5,2024-11-27,43.9524681491397
EUR,MLP,0.5,2024-11-28,43.9524386281969
EUR,MLP,0.5,2024-11-29,43.952410310301936
EUR,MLP,0.5,2024-11-30,43.952390136115326
EUR,MLP,0.5,2024-12-01,43.9523719978558
EUR,MLP,0.5,2024-12-02,43.95235534027053
EUR,MLP,0.5,2024-12-03,43.9523415514916
EUR,MLP,0.5,2024-12-04,43.952328040339104
EUR,MLP,0.5,2024-12-05,43.952315732234425
EUR,MLP,0.5,2024-12-06,43.95230421073794
EUR,MLP,0.5,2024-12-07,43.95229324449431
EUR,MLP,0.5,2024-12-08,43.952284221635615
EUR,MLP,0.5,2024-12-09,43.95227603165619
EUR,MLP,0.5,2024-12-10,43.95226881336924
EUR,MLP,0.5,2024-12-11,43.95226326084081
EUR,MLP,0.5,2024-12-12,43.952257800854525
EUR,MLP,0.5,2024-12-13,43.9522527110368
EUR,MLP,0.5,2024-12-14,43.95224863918262
EUR,MLP,0.5,2024-12-15,43.95224438224416
EUR,MLP,0.5,2024-12-16,43.95224031038998
EUR,MLP,0.5,2024-12-17,43.95223711768614
EUR,MLP,0.5,2024-12-18,43.95223406379551
EUR,MLP,0.5,2024-12-19,43.952231380073435
EUR,MLP,0.5,2024-12-20,43.95222920533313
EUR,MLP,0.5,2024-12-21,43.952227169406044
EUR,MLP,0.5,2024-12-22,43.95222541110538
EUR,MLP,0.5,2024-12-23,43.95222379161792
EUR,MLP,0.5,2024-12-24,43.952222310943675
EUR,MLP,0.5,2024-12-25,43.95222092281157
EUR,MLP,0.5,2024-12-26,43.95221967349267
EUR,MLP,0.5,2024-12-27,43.952218562986985
EUR,MLP,0.5,2024-12-28,43.95221763756558
EUR,MLP,0.5,2024-12-29,43.95221675841525
EUR,MLP,0.5,2024-12-30,43.95221597180706
EUR,MLP,0.5,2024-12-31,43.95221541655421
EUR,MLP,0.5,2025-01-01,43.95221476875923
EUR,MLP,0.5,2025-01-02,43.952214259777456
EUR,MLP,0.5,2025-01-03,43.952213750795686
EUR,MLP,0.5,2025-01-04,43.952213288084984
EUR,MLP,0.5,2025-01-05,43.95221291791642
EUR,MLP,0.5,2025-01-06,43.95221254774786
EUR,MLP,0.5,2025-01-07,43.9522121775793
EUR,MLP,0.5,2025-01-08,43.95221194622395
EUR,MLP,0.5,2025-01-09,43.9522117148686
